Date,Open,High,Low,Close
2022-08-12,0.7105,0.7129,0.7085,0.7125
2022-08-15,0.7128,0.7129,0.7011,0.7022
2022-08-16,0.7024,0.7041,0.699,0.7025
2022-08-17,0.7023,0.7032,0.6911,0.6937
2022-08-18,0.6934,0.697,0.6892,0.6915
2022-08-19,0.6916,0.6921,0.6858,0.6878
2022-08-22,0.6875,0.6927,0.6862,0.6877
2022-08-23,0.6875,0.6964,0.6855,0.693
2022-08-24,0.6931,0.694,0.6878,0.6909
2022-08-25,0.6911,0.6992,0.6902,0.6979
2022-08-26,0.6982,0.7009,0.6888,0.6888
2022-08-29,0.6881,0.6927,0.684,0.6904
2022-08-30,0.6903,0.6957,0.6845,0.6855
2022-08-31,0.6853,0.6905,0.6835,0.6847
2022-09-01,0.6844,0.6848,0.6771,0.6788
2022-09-02,0.6787,0.6855,0.6779,0.6812
2022-09-05,0.6813,0.6813,0.6772,0.6797
2022-09-06,0.6798,0.6833,0.6727,0.6736
2022-09-07,0.6735,0.6771,0.6698,0.6769
2022-09-08,0.677,0.6774,0.6713,0.6751
