Date,Open,High,Low,Close
2022-08-12,137.28,137.74,136.64,136.93
2022-08-15,136.93,137.44,135.27,135.45
2022-08-16,135.44,136.93,134.95,136.56
2022-08-17,136.55,137.9,136.26,137.47
2022-08-18,137.51,137.66,136.5,137.08
2022-08-19,137.07,137.98,136.93,137.42
2022-08-22,137.52,137.97,136.39,136.72
2022-08-23,136.81,137.36,135.76,136.34
2022-08-24,136.25,136.78,135.51,136.67
2022-08-25,136.71,136.99,136.01,136.15
2022-08-26,136.17,137.99,135.92,137.1
2022-08-29,137.25,138.99,137.01,138.67
2022-08-30,138.72,139.24,138.26,138.99
2022-08-31,139.02,139.74,138.28,139.56
2022-09-01,139.68,140.04,138.91,139.47
2022-09-02,139.44,140.78,139.24,139.62
2022-09-05,139.58,139.66,138.68,139.62
2022-09-06,139.61,141.78,139.45,141.43
2022-09-07,141.44,144.03,141.35,143.85
2022-09-08,143.84,144.32,143.18,144.09
