Date,Open,High,Low,Close
2022-08-12,1.032,1.0339,1.0239,1.0259
2022-08-15,1.0261,1.027,1.0155,1.016
2022-08-16,1.0162,1.0195,1.0123,1.0174
2022-08-17,1.0172,1.0204,1.0146,1.0179
2022-08-18,1.0182,1.0195,1.0081,1.0088
2022-08-19,1.0089,1.013,1.0032,1.004
2022-08-22,1.004,1.0048,0.9927,0.9943
2022-08-23,0.9942,1.0015,0.9902,0.9971
2022-08-24,0.9972,1.0,0.9911,0.9967
2022-08-25,0.9969,1.0035,0.9951,0.9976
2022-08-26,0.9975,1.0089,0.9947,0.9966
2022-08-29,0.9964,1.003,0.9915,0.9997
2022-08-30,1.0,1.0054,0.9983,1.0015
2022-08-31,1.0017,1.008,0.9972,1.0055
2022-09-01,1.0053,1.0058,0.9912,0.9948
2022-09-02,0.9946,1.0036,0.9943,0.9957
2022-09-05,0.9954,0.9954,0.9879,0.9933
2022-09-06,0.9931,0.9988,0.9867,0.9905
2022-09-07,0.9906,1.0012,0.9877,1.0008
2022-09-08,1.0007,1.0031,0.9934,0.9999
