Date,Open,High,Low,Close
2022-08-12,1.2205,1.2218,1.2101,1.2138
2022-08-15,1.2142,1.2155,1.205,1.2053
2022-08-16,1.2055,1.2118,1.2007,1.2098
2022-08-17,1.2096,1.2137,1.2028,1.2049
2022-08-18,1.2047,1.2081,1.1922,1.1931
2022-08-19,1.193,1.1982,1.1792,1.1831
2022-08-22,1.1829,1.1838,1.1741,1.1768
2022-08-23,1.1778,1.1877,1.1717,1.1835
2022-08-24,1.1834,1.1846,1.1756,1.1795
2022-08-25,1.1798,1.1865,1.1784,1.1835
2022-08-26,1.1833,1.1898,1.173,1.1739
2022-08-29,1.1731,1.1744,1.1648,1.1707
2022-08-30,1.1709,1.1762,1.1622,1.1655
2022-08-31,1.1654,1.1695,1.16,1.1621
2022-09-01,1.1624,1.1627,1.1501,1.1546
2022-09-02,1.1545,1.1589,1.1495,1.1512
2022-09-05,1.1511,1.1522,1.1443,1.1518
2022-09-06,1.1517,1.1609,1.1496,1.1519
2022-09-07,1.152,1.1541,1.1405,1.1535
2022-09-08,1.1527,1.1561,1.1461,1.1504
