Date,Open,High,Low,Close
2022-08-12,1.2766,1.2807,1.274,1.2778
2022-08-15,1.2778,1.2936,1.2763,1.2904
2022-08-16,1.2905,1.293,1.2832,1.2845
2022-08-17,1.2847,1.2938,1.2828,1.2914
2022-08-18,1.2915,1.2967,1.2881,1.2948
2022-08-19,1.295,1.3011,1.2941,1.2996
2022-08-22,1.2991,1.3063,1.2974,1.3055
2022-08-23,1.3043,1.3065,1.2934,1.2958
2022-08-24,1.2952,1.3026,1.2939,1.2972
2022-08-25,1.297,1.2979,1.2896,1.2925
2022-08-26,1.2924,1.3045,1.2905,1.3036
2022-08-29,1.3037,1.3077,1.2991,1.3012
2022-08-30,1.3014,1.3109,1.2972,1.3091
2022-08-31,1.3099,1.3143,1.3064,1.3129
2022-09-01,1.3143,1.3209,1.3117,1.3154
2022-09-02,1.3156,1.3172,1.3076,1.3131
2022-09-05,1.3136,1.3176,1.3123,1.3143
2022-09-06,1.3144,1.3172,1.3097,1.3153
2022-09-07,1.3151,1.321,1.3111,1.3121
2022-09-08,1.3123,1.3159,1.3078,1.3093
