Date,Open,High,Low,Close
2022-08-12,133.02,133.89,132.88,133.45
2022-08-15,133.44,133.6,132.58,133.32
2022-08-16,133.32,134.66,132.97,134.23
2022-08-17,134.22,135.5,133.92,135.06
2022-08-18,135.17,135.91,134.65,135.89
2022-08-19,135.89,137.23,135.73,136.93
2022-08-22,136.86,137.65,136.71,137.51
2022-08-23,137.47,137.71,135.82,136.75
2022-08-24,136.77,137.24,136.19,137.13
2022-08-25,137.13,137.2,136.32,136.5
2022-08-26,136.51,137.74,136.36,137.57
2022-08-29,137.67,139.01,137.57,138.72
2022-08-30,138.72,139.06,138.05,138.79
2022-08-31,138.8,139.0,138.28,138.95
2022-09-01,138.96,140.23,138.77,140.2
2022-09-02,140.17,140.8,139.88,140.2
2022-09-05,140.22,140.66,140.05,140.59
2022-09-06,140.59,143.08,140.26,142.79
2022-09-07,142.79,144.99,142.73,143.75
2022-09-08,143.75,144.53,143.32,144.11
